ID,Congressional District,Call Date,Disposition,Q1
52545,14,9/28/2020,Left Message,
100323,12,9/30/2020,Left Message,
16662,1,9/30/2020,Wrong Number,
1351,1,9/28/2020,Left Message Recording,
37422,11,9/28/2020,Left Message,
32402,9,9/28/2020,D,
58311,8,9/29/2020,C,1
682,1,9/28/2020,Wrong Number,
21093,1,9/30/2020,Wrong Number,
23917,1,10/01/2020,Wrong Number,
134578,11,10/1/2020,D,
160373,7,10/2/2020,Left Message,
93954,11,9/30/2020,Left Message,
75764,12,9/29/2020,D,
112716,1,10/1/2020,C,4 - Refused
119091,2,10/1/2020,Left Message,
134237,11,10/1/2020,D,
31355,8,9/28/2020,D,
163470,8,10/2/2020,Left Message,
107266,14,9/30/2020,Left Message,
128853,8,10/1/2020,C,Yes
117825,2,10/1/2020,Left Message,
59585,8,9/29/2020,Left Message,
55782,15,9/28/2020,Left Message,
33009,9,9/28/2020,C,2 - No
12150,1,9/29/2020,Wrong Number,
89430,9,9/30/2020,Left Message,
4675,1,9/28/2020,Left Message Recording,
20604,1,9/30/2020,Wrong Number,
24575,1,10/01/2020,Wrong Number,
14338,1,9/29/2020,Left Message Recording,
86493,8,9/30/2020,C,1 - Yes
126986,2,10/1/2020,Left Message,
6532,1,9/28/2020,Left Message Recording,
134200,11,10/1/2020,Left Message,
155962,6,10/2/2020,Left Message,
106821,14,9/30/2020,Left Message,
70523,11,9/29/2020,D,
145612,3,10/2/2020,C,1
161144,7,10/2/2020,Left Message,
62993,9,9/29/2020,Left Message,
85133,15,9/29/2020,Left Message,
36972,10,9/28/2020,Left Message,
161997,7,10/2/2020,Left Message,
103099,13,9/30/2020,Left Message,
94716,11,9/30/2020,Left Message,
82651,14,9/29/2020,Left Message,
1738,1,9/28/2020,Left Message Recording,
62360,8,9/29/2020,Left Message,
37437,11,9/28/2020,Left Message,
119400,2,10/1/2020,Left Message,
101119,12,9/30/2020,Left Message,
9824,1,9/28/2020,Left Message Recording,
146366,3,10/2/2020,Left Message,
104886,13,9/30/2020,Left Message,
83732,15,9/29/2020,Left Message,
69677,11,9/29/2020,Left Message,
61978,8,9/29/2020,Left Message,
91318,10,9/30/2020,Left Message,
96567,11,9/30/2020,Left Message,
86424,8,9/30/2020,C,1
53136,14,9/28/2020,Left Message,
83294,15,9/29/2020,D,
146709,3,10/2/2020,Left Message,
74041,12,9/29/2020,D,
47856,12,9/28/2020,C,4 - Refused
163956,8,10/2/2020,Left Message,
54508,15,9/28/2020,D,
143945,3,10/2/2020,Left Message,
92342,11,9/30/2020,Left Message,
77950,12,9/29/2020,Left Message,
131120,9,10/1/2020,Left Message,
96095,11,9/30/2020,D,
6960,1,9/28/2020,Left Message Recording,
93213,11,9/30/2020,Left Message,
158774,7,10/2/2020,Left Message,
136571,12,10/1/2020,D,
31116,8,9/28/2020,Left Message,
20665,1,9/30/2020,Wrong Number,
91477,10,9/30/2020,Left Message,
101708,12,9/30/2020,Left Message,
94821,11,9/30/2020,Left Message,
