,ID,Congressional District,Call Date,Disposition,Q1
425,72258,11,09/29/2020,Left Message,Undecided
426,32256,9,09/28/2020,Bad Number,Undecided
427,35741,10,09/28/2020,Left Message,Undecided
428,2006,1,09/28/2020,Wrong Number,Undecided
429,10280,1,09/29/2020,Wrong Number,Undecided
430,8311,1,09/28/2020,Left Message,Undecided
431,17106,1,09/30/2020,Wrong Number,Undecided
432,22120,1,10/01/2020,Wrong Number,Undecided
433,70897,11,09/29/2020,Bad Number,Undecided
434,147369,4,10/02/2020,Bad Number,Undecided
435,60746,8,09/29/2020,Left Message,Undecided
436,160742,7,10/02/2020,Left Message,Undecided
437,28744,8,09/28/2020,Answered,Refused
438,143576,3,10/02/2020,Left Message,Undecided
439,104274,13,09/30/2020,Left Message,Undecided
440,138490,14,10/01/2020,Left Message,Undecided
441,3035,1,09/28/2020,Left Message,Undecided
442,73341,11,09/29/2020,Left Message,Undecided
443,138021,13,10/01/2020,Bad Number,Undecided
444,55828,15,09/28/2020,Left Message,Undecided
445,109704,15,09/30/2020,Bad Number,Undecided
446,65714,9,09/29/2020,Left Message,Undecided
447,141176,2,10/02/2020,Bad Number,Undecided
448,4363,1,09/28/2020,Wrong Number,Undecided
449,45427,12,09/28/2020,Left Message,Undecided
450,23224,1,10/01/2020,Wrong Number,Undecided
451,32163,9,09/28/2020,Bad Number,Undecided
452,35485,10,09/28/2020,Left Message,Undecided
453,148250,5,10/02/2020,Left Message,Undecided
454,129418,8,10/01/2020,Bad Number,Undecided
455,152036,6,10/02/2020,Bad Number,Undecided
456,141843,2,10/02/2020,Left Message,Undecided
457,154119,6,10/02/2020,Left Message,Undecided
458,77262,12,09/29/2020,Left Message,Undecided
459,34234,9,09/28/2020,Left Message,Undecided
460,110664,15,09/30/2020,Left Message,Undecided
461,95199,11,09/30/2020,Left Message,Undecided
462,41271,11,09/28/2020,Left Message,Undecided
463,34657,9,09/28/2020,Answered,Refused
464,87238,8,09/30/2020,Left Message,Undecided
465,138166,13,10/01/2020,Bad Number,Undecided
466,1230,1,09/28/2020,Wrong Number,Undecided
467,104976,13,09/30/2020,Left Message,Undecided
468,112678,1,10/01/2020,Answered,Refused
469,29856,8,09/28/2020,Bad Number,Undecided
470,110917,15,09/30/2020,Left Message,Undecided
471,132441,10,10/01/2020,Left Message,Undecided
472,104605,13,09/30/2020,Bad Number,Undecided
473,82058,14,09/29/2020,Bad Number,Undecided
474,1537,1,09/28/2020,Wrong Number,Undecided
475,131133,9,10/01/2020,Answered,No
476,63931,9,09/29/2020,Answered,Yes
477,38114,11,09/28/2020,Answered,Refused
478,5316,1,09/28/2020,Left Message,Undecided
479,132515,10,10/01/2020,Bad Number,Undecided
480,114144,1,10/01/2020,Answered,Yes
481,63413,9,09/29/2020,Left Message,Undecided
482,29249,8,09/28/2020,Bad Number,Undecided
483,138335,13,10/01/2020,Bad Number,Undecided
484,110776,15,09/30/2020,Left Message,Undecided
485,86339,8,09/30/2020,Left Message,Undecided
486,37459,11,09/28/2020,Left Message,Undecided
487,159958,7,10/02/2020,Left Message,Undecided
488,87037,8,09/30/2020,Left Message,Undecided
489,145199,3,10/02/2020,Left Message,Undecided
490,104046,13,09/30/2020,Left Message,Undecided
491,50875,13,09/28/2020,Left Message,Undecided
492,27258,1,10/02/2020,Wrong Number,Undecided
493,157322,7,10/02/2020,Left Message,Undecided
494,153148,6,10/02/2020,Left Message,Undecided
495,19216,1,09/30/2020,Wrong Number,Undecided
496,136868,12,10/01/2020,Bad Number,Undecided
497,90306,10,09/30/2020,Left Message,Undecided
498,93350,11,09/30/2020,Left Message,Undecided
499,88247,9,09/30/2020,Left Message,Undecided
500,62487,8,09/29/2020,Answered,Refused
501,91305,10,09/30/2020,Left Message,Undecided
502,135737,11,10/01/2020,Bad Number,Undecided
503,46995,12,09/28/2020,Answered,Refused
504,24558,1,10/01/2020,Wrong Number,Undecided
505,76623,12,09/29/2020,Left Message,Undecided
506,147846,4,10/02/2020,Answered,Refused
507,95559,11,09/30/2020,Bad Number,Undecided
508,162953,7,10/02/2020,Left Message,Undecided
509,138640,14,10/01/2020,Bad Number,Undecided
510,64559,9,09/29/2020,Bad Number,Undecided
511,45510,12,09/28/2020,Left Message,Undecided
512,46850,12,09/28/2020,Left Message,Undecided
513,121706,2,10/01/2020,Left Message,Undecided
514,141988,2,10/02/2020,Left Message,Undecided
515,128714,8,10/01/2020,Left Message,Undecided
516,125756,2,10/01/2020,Left Message,Undecided
517,51168,13,09/28/2020,Answered,Yes
518,16373,1,09/30/2020,Wrong Number,Undecided
519,25448,1,10/01/2020,Left Message,Undecided
520,99533,12,09/30/2020,Bad Number,Undecided
521,96094,11,09/30/2020,Left Message,Undecided
522,31722,8,09/28/2020,Answered,Yes
523,157559,7,10/02/2020,Left Message,Undecided
524,88885,9,09/30/2020,Answered,Refused
525,91422,10,09/30/2020,Answered,Refused
526,58106,8,09/29/2020,Bad Number,Undecided
527,62653,9,09/29/2020,Bad Number,Undecided
528,137143,12,10/01/2020,Bad Number,Undecided
529,40626,11,09/28/2020,Left Message,Undecided
530,134691,11,10/01/2020,Bad Number,Undecided
531,150251,6,10/02/2020,Left Message,Undecided
532,3531,1,09/28/2020,Wrong Number,Undecided
533,131920,10,10/01/2020,Left Message,Undecided
534,12507,1,09/29/2020,Wrong Number,Undecided
535,61709,8,09/29/2020,Left Message,Undecided
536,7385,1,09/28/2020,Left Message,Undecided
